,content,date,event,geo,language,sentiment,source,targets,uri
89,"@Chloe_Rielly @Apple The question here is, how hard can you actually touch? 😂",2017-09-13 06:59:38,Other,"Derry, Ireland ",en,0.0,twitter,[],https://twitter.com/undefined/status/907861311182303232
90,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:37,Other,"Louisville, KY ",en,0.0,twitter,[],https://twitter.com/undefined/status/907861305176018944
91,@thenawazali @Apple Now you can use face id...The new innovation from Apple...,2017-09-13 06:59:37,Other,"Lucknow, India",en,0.0,twitter,"[{'sentiment': 0, 'label': '1'}, {'sentiment': 0, 'label': 'face'}, {'sentiment': 0, 'label': '3'}]",https://twitter.com/undefined/status/907861306199334913
92,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:36,Other,"Palm Bay, Florida",en,0.0,twitter,[],https://twitter.com/undefined/status/907861301485023233
93,@AmazonHelp Authorized service centre list please @nokiamobile @nokia @amazonIN,2017-09-13 06:59:35,Release,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861300402720768
94,RT @fmanjoo: Kevin Drum on Equifax https://t.co/vDWMXsRt2g https://t.co/vz4CXYq8QM,2017-09-13 06:59:34,Other,"Wroclaw, Poland",en,0.0,twitter,[],https://twitter.com/undefined/status/907861296099586048
95,RT @yosoyelmauricio: @NEOnewstoday and how does one keep collecting $GAS ? @NEO_Blockchain @NEO_council,2017-09-13 06:59:33,Other,,en,0.0,twitter,"[{'sentiment': 0, 'label': 'gas'}]",https://twitter.com/undefined/status/907861288298172416
96,"@Apple Hey look, a really old Android. Prefer my Pixel XL but some people just love retro I guess",2017-09-13 06:59:33,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861291624271872
97,RT @senehs_sithu: This is a beast . Wow . @MercedesBenz #ProjectOne https://t.co/u6ioNgeLYc,2017-09-13 06:59:32,Other,"Lahore, Pakistan",en,0.0,twitter,[],https://twitter.com/undefined/status/907861286469423104
98,@HodlThatCoin @Apple Do it. Its not too late... There may be hope,2017-09-13 06:59:31,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861281285095425
99,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:29,Other,"Atlanta, Georgia",en,0.0,twitter,[],https://twitter.com/undefined/status/907861274209292288
100,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:24,Other,"Washington, DC",en,0.0,twitter,[],https://twitter.com/undefined/status/907861254127177730
101,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:24,Other,"Washington, DC",en,0.0,twitter,[],https://twitter.com/undefined/status/907861252856303616
102,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:24,Other,Maryland,en,0.0,twitter,[],https://twitter.com/undefined/status/907861251044278272
103,@vausecnn so @Apple @tim_cook jack up iPhone price because stupid people will pay for them? Its a tool a use the most in my life.,2017-09-13 06:59:23,Other,,en,0.0,twitter,"[{'sentiment': 0, 'label': 'life'}]",https://twitter.com/undefined/status/907861247143452672
104,idc what @Apple is doing. i hate technology. can someone buy me a typewriter plz.,2017-09-13 06:59:20,Other,,en,0.0,twitter,"[{'sentiment': 0, 'label': 'i'}, {'sentiment': 0, 'label': 'idc'}]",https://twitter.com/undefined/status/907861236372586497
